"Seagoville","TX","-96.5383228","32.6395776"
"Mammoth Spring","AR","-91.5406968","36.4956181"
"Suffolk","VA","-76.5835621","36.7282054"
"Miles","TX","-100.1823084","31.5973798"
"Mount Holly","AR","-92.9548857","33.3026262"
"Panama","IL","-89.5242528","39.0294908"
"Cobbs Creek","VA","-76.3968899","37.5056916"
"Blue Mountain Lake","NY","-74.4434931","43.8553412"
"Hersey","MI","-85.4444913","43.8486301"
"Blooming Grove","TX","-96.7158250","32.0920967"
"Kake","AK","-133.9472222","56.9758333"
"New Park","PA","-76.5055208","39.7348262"
"Palacios","TX","-96.2174670","28.7080461"
"Bowling Green","OH","-83.6513229","41.3747744"
"Haverhill","OH","-82.8321123","38.5848013"
"Emory","TX","-95.7655183","32.8745660"
"Piqua","KS","-95.5352610","37.9228130"
"Harrods Creek","KY","-85.6277393","38.3275686"
"Litchfield","OH","-82.0229219","41.1678322"
"Mount Vernon","IA","-91.4168371","41.9219522"
"Harleigh","PA","-75.9713134","40.9806398"
"Gretna","FL","-84.6599145","30.6171378"
"Bradford","NY","-77.1088596","42.3711837"
"Luana","IA","-91.4540293","43.0602597"
"Antioch","IL","-88.0956396","42.4772418"
"Lynn","AR","-91.2523521","36.0072941"
"Mount Judea","AR","-93.0601740","35.9214662"
"Hinckley","UT","-112.6710613","39.3249554"
"Gratiot","WI","-90.0226244","42.5788935"
"West Park","NY","-73.9595822","41.7945374"
"Maupin","OR","-121.0814491","45.1751205"
"Plum","TX","-96.9674826","29.9349464"
"Udell","IA","-92.7425240","40.7801720"
"Onarga","IL","-88.0061509","40.7150350"
"Lincoln","DE","-75.4229746","38.8698352"
"Monroeville","PA","-79.7881024","40.4211798"
"Quarryville","PA","-76.1635655","39.8970470"
"Heidrick","KY","-83.8785356","36.8825878"
"Wolcott","NY","-76.8149578","43.2206218"
"Willcox","AZ","-109.8320124","32.2528519"
"Lordsburg","NM","-108.7086649","32.3503605"
"Greenport","NY","-72.3592501","41.1034326"
"Cordova","NC","-79.8220026","34.9129318"
"Macatawa","MI","-86.2061539","42.7697445"
"Currie","MN","-95.6663993","44.0713510"
"Lakeside Marblehead","OH","-82.7684375","41.5180478"
"Gerlach","NV","-119.3551865","40.6515682"
"Emerado","ND","-97.3650837","47.9188750"
"Fillmore","IL","-89.2789678","39.1153229"
"West Mifflin","PA","-79.8664375","40.3634026"
"Saint Jo","TX","-97.5225245","33.6948279"
"Fishertown","PA","-78.5855735","40.1217457"
"Waterford","MI","-83.3879650","42.6629340"
"Shambaugh","IA","-95.0319224","40.6588798"
"Bellingham","MA","-71.4745055","42.0867641"
"Independence","VA","-81.1509230","36.6223478"
"Flat","AK","-158.0075000","62.4536111"
"Dewitt","IL","-88.7861844","40.1811468"
"Water View","VA","-76.6135661","37.7245847"
"Pavillion","WY","-108.6901165","43.2446803"
"Edgewater","FL","-80.9022758","28.9888754"
"Upatoi","GA","-84.7399283","32.5487503"
"Williamson","PA","-77.7974951","39.8531476"
"Harrison","OH","-84.7930250","39.2498680"
"Blodgett Mills","NY","-76.1257608","42.5684039"
"Deep Run","NC","-77.7038632","35.1454412"
"Brownstown","IN","-86.0419247","38.8789426"
"New Ulm","MN","-94.4677890","44.3094790"
"Duarte","CA","-117.9772873","34.1394513"
"Kingman","AZ","-114.0530065","35.1894430"
"Roanoke","VA","-79.9414266","37.2709704"
"Carbondale","PA","-75.5018508","41.5736935"
"Bunker Hill","WV","-78.0544439","39.3334341"
"Greenland","NH","-70.8328322","43.0361995"
"Cumberland","WI","-92.0193460","45.5321764"
"Paris","IL","-87.6961374","39.6111460"
"New Holland","SD","-98.6092491","43.4272145"
"Henry","VA","-78.5708308","37.0495934"
"Milmine","IL","-88.6503448","39.9075347"
"Walnut Creek","OH","-81.7217960","40.5414518"
"Aragon","NM","-108.1322861","35.1092033"
"Island Park","NY","-73.6554078","40.6042705"
"Advance","IN","-86.6200040","39.9958763"
"Dundee","KY","-86.7727670","37.5589399"
"Packwood","IA","-92.0826771","41.1327937"
"Folsom","LA","-90.1873048","30.6301889"
"Wittman","MD","-76.2941165","38.7937283"
"Franklin","MA","-71.3967250","42.0834313"
"Westmoreland","NH","-72.4423102","42.9620253"
"Little Falls","NY","-74.8595957","43.0434039"
"Bowling Green","IN","-87.0116791","39.3830983"
"Glen Gardner","NJ","-74.9407248","40.6967671"
"Joinerville","TX","-94.9007717","32.1779364"
"Otter Creek","FL","-82.7717811","29.3249653"
"Odessa","DE","-75.6613184","39.4573340"
"Morrow","OH","-84.1271568","39.3545046"
"Hockessin","DE","-75.6966001","39.7876112"
"Piermont","NH","-72.0806443","43.9697892"
"Stephan","SD","-99.4531649","44.2480424"
"Vallecitos","NM","-106.1166881","36.4950177"
"Wahiawa","HI","-158.0236111","21.5027778"
"Cleveland","WV","-80.3923061","38.7270471"
"Ivanhoe","MN","-96.2472630","44.4632981"
"Perryville","AK","-159.1455556","55.9127778"
"Turner","ME","-70.2561671","44.2564588"
"Hewitt","NJ","-74.3107060","41.1417622"
"Annandale","VA","-77.1963703","38.8303905"
"Coal Run","OH","-81.5812376","39.5675732"
"Forest","MS","-89.4742348","32.3645888"
"Tannersville","VA","-81.6253929","36.9734483"
"Iron City","GA","-84.8129778","31.0135189"
"Hampton","NH","-70.8389421","42.9375899"
"Rushland","PA","-75.0307246","40.2576078"
"Crary","ND","-98.6384434","48.0708347"
"Muse","PA","-80.2003358","40.2928477"
"Whitehall","PA","-77.1094272","39.7909317"
"San German","PR","-67.0449007","18.0816273"
"San Miguel","NM","-106.1605804","36.9614020"
"Osgood","OH","-84.4952303","40.3397695"
"Bertrand","MO","-89.4525775","36.9094963"
"Duck River","TN","-87.2775920","35.7212366"
"Victor","MT","-114.1501005","46.4165889"
"Spirit Lake","ID","-116.8685314","47.9662924"
"Larimore","ND","-97.6267539","47.9066569"
"Polacca","AZ","-110.3815198","35.8366716"
"Hampton","SC","-81.1276052","32.8779425"
"Glenwood","NM","-108.8831188","33.3167293"
"Denmark","ME","-70.8033966","43.9703491"
"White","PA","-79.4369805","40.0700733"
"Southfield","MI","-83.2218731","42.4733688"
"Houtzdale","PA","-78.3511289","40.8250590"
"Prophetstown","IL","-89.9362249","41.6714198"
"Kattskill Bay","NY","-73.6283333","43.4786111"
"Moore","ID","-113.3663993","43.7357346"
"Woodlake","CA","-119.0987176","36.4135605"
"Low Moor","VA","-79.8836637","37.7887382"
"Midway","WV","-81.2592657","37.2659503"
"Webster","SD","-97.5200891","45.3321795"
"Greenwood","ME","-70.6508978","44.3184011"
"Roxbury","NY","-73.8906918","40.5664943"
"Ferndale","FL","-81.7034089","28.6219425"
"Protivin","IA","-92.0910011","43.2160819"
"Cloudcroft","NM","-105.7424855","32.9573133"
"Gilson","IL","-90.2015111","40.8617048"
"Yucca Valley","CA","-116.4322350","34.1141743"
"Empire","LA","-89.5972832","29.3877189"
"Groveland","NY","-77.7697212","42.6647868"
"Pinsonfork","KY","-82.2637517","37.5531596"
"San Saba","TX","-98.7180980","31.1957234"
"Redford","MO","-90.8984562","37.3200482"
"Winnebago","WI","-88.5251126","44.0758178"
"Tonto Basin","AZ","-111.2945750","33.8317111"
"Woden","TX","-94.5265962","31.5032387"
"Alto Pass","IL","-89.3175879","37.5703276"
"Warner","SD","-98.4953711","45.3258099"
"Carlotta","CA","-124.0606039","40.5373570"
"Maxbass","ND","-101.1415464","48.7216878"
"Sale City","GA","-84.0212897","31.2643494"
"Abbottstown","PA","-76.9847013","39.8864869"
"Coupland","TX","-97.3886085","30.4599264"
"Waxahachie","TX","-96.8483311","32.3865312"
"Otter","MT","-106.2016892","45.2077710"
"Seaside","CA","-121.8185840","36.6214000"
"Diamond","OH","-81.0228710","41.0989463"
"Mccain","NC","-79.3455903","35.0607173"
"Winside","NE","-97.1750483","42.1763920"
"Indialantic","FL","-80.5656079","28.0894599"
"Burchard","NE","-96.3502917","40.1475004"
"West Branch","MI","-84.2386132","44.2764083"
"Madison","NE","-97.4571530","41.8274380"
"Atwood","IL","-88.4622789","39.7994772"
"Burton","MI","-83.6163423","42.9994718"
"Jarrell","TX","-97.6044540","30.8249094"
"Isle Saint George","OH","-82.8202778","41.7216667"
"Darling","MS","-90.2742605","34.3589978"
"Afton","IA","-94.1980083","41.0274907"
"Neihart","MT","-110.7357707","46.9332955"
"Gramercy","LA","-90.6898128","30.0474239"
"Trinidad","CO","-104.5005407","37.1694632"
"Huntington Mills","PA","-76.2335444","41.1906388"
"Briggsville","AR","-93.4943569","34.9339818"
"Burlington","CO","-102.2693563","39.3061082"
"Santa Fe Springs","CA","-118.0853451","33.9472359"
"Meredithville","VA","-77.9566640","36.8068131"
"Gas","KS","-95.3460916","37.9236467"
"Iron Ridge","WI","-88.5326008","43.3997196"
"Langford","SD","-97.8303789","45.6024517"
"Emmalena","KY","-83.0743342","37.3342633"
"East Pembroke","NY","-78.3100195","42.9956152"
"Mount Lemmon","AZ","-110.7576749","32.4432180"
"Boxford","MA","-70.9967205","42.6612040"
"Gordo","AL","-87.9027962","33.3201178"
"Los Molinos","CA","-122.1002666","40.0212683"
"Lowell","IN","-87.4205903","41.2914243"
"Princeville","IL","-89.7576021","40.9297591"
"Mound","TX","-97.6375185","31.3518348"
"Brussels","WI","-87.6209298","44.7361071"
"Sarcoxie","MO","-94.1166043","37.0692266"
"Silver Springs","NV","-119.2246073","39.4154714"
"Smithland","KY","-88.4033716","37.1389445"
"Valley Head","WV","-80.0359015","38.5451130"
"Holgate","OH","-84.1330000","41.2489374"
"Sully","IA","-92.8449164","41.5783288"
"Gerber","CA","-122.1502688","40.0562678"
"Milton Freewater","OR","-118.3877435","45.9326346"
"Lemhi","ID","-113.6197746","44.8515919"
"Gresham","NE","-97.4022694","41.0283465"
"Pekin","ND","-98.3281559","47.7908303"
